experiment,threshold,precision_plus,recall_plus,f1_plus,pr_auc,roc_auc,tp,fp,tn,fn,n_train,n_test
E0_text_only,0.5427034713584672,0.9277310924369748,0.9004893964110929,0.9139072847682114,0.9584999944494007,0.9819940870146524,552,44,3265,61,15688,3922
E1_text_plus_url,0.46238790710448663,0.9485420240137221,0.9021207177814029,0.924749163879598,0.9646000210228157,0.9840434683795294,553,31,3278,60,15688,3922
E2_text_plus_headers,0.7099780390871417,0.9949066213921901,0.9559543230016313,0.9750415973377697,0.995025691099424,0.9986910975405945,586,4,3305,27,15688,3922
E3_text_plus_html,0.48880475062365525,0.9325463743676222,0.9021207177814029,0.9170812603648419,0.9627744166525175,0.9836160414747066,553,41,3268,60,15688,3922
E4_text_only_LinearSVC,0.07074727683581711,0.965034965034965,0.9004893964110929,0.9316455696202526,0.9688444007219286,0.9854297710973632,552,21,3288,61,15688,3922
E5_embeddings_MiniLM_LR,0.38887001509857705,0.6456140350877193,0.9004893964110929,0.7520435967302447,0.9029015336023329,0.9600984412968339,552,304,3005,61,15688,3922
